Source,Destination,Start,End,Md5,UploadId,Source Size,Bytes Transferred,Result,Description
file://.\log.txt,gs://lectalocal/MD/log.txt,2020-11-23T15:50:30.799151Z,2020-11-23T15:50:31.440535Z,,,92,0,error,"AccessDeniedException: 403 Object 'lectalocal/MD/log.txt' is subject to bucket's retention policy and cannot be deleted, overwritten or archived until 2021-07-14T08:42:03.667655542-07:00"
file://.\app.yaml,gs://lectalocal/MD/app.yaml,2020-11-23T15:50:30.767905Z,2020-11-23T15:50:31.465341Z,qT103QiJS8/GuOVDSRhqwg==,,378,378,OK,
file://.\index.html,gs://lectalocal/MD/index.html,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.493377Z,bXemwbCatAtJ4PTkbRJ4vg==,,104,104,OK,
file://.\debug.log,gs://lectalocal/MD/debug.log,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.493377Z,4qyigJx/kwMoI/HY0twzLQ==,,125,125,OK,
file://.\ejemplo.yml,gs://lectalocal/MD/ejemplo.yml,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.493377Z,tvPK4onR6rVRGx3VLAVp2Q==,,343,343,OK,
file://.\index.php,gs://lectalocal/MD/index.php,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.506354Z,7zm+5IuJkQ87irTincYeDg==,,3368,3368,OK,
file://.\Road.php,gs://lectalocal/MD/Road.php,2020-11-23T15:50:30.799151Z,2020-11-23T15:50:31.583126Z,ZHl0NHss9yNo/e6fnikh+g==,,519,519,OK,
file://.\Firma de app.msg,gs://lectalocal/MD/Firma de app.msg,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.584108Z,bSgOa1xtkSwfpgP1WK7NrA==,,31744,31744,OK,
file://.\php.ini,gs://lectalocal/MD/php.ini,2020-11-23T15:50:30.799151Z,2020-11-23T15:50:31.584108Z,AxVc3vQNFaiWzz3eWyb1HQ==,,187,187,OK,
file://.\1559946834.xlsx,gs://lectalocal/MD/1559946834.xlsx,2020-11-23T15:50:30.767905Z,2020-11-23T15:50:31.584108Z,gjKO2Sh0qvqfLjbz18N2FQ==,,10435,10435,OK,
file://.\verifica.php,gs://lectalocal/MD/verifica.php,2020-11-23T15:50:30.814772Z,2020-11-23T15:50:31.587062Z,I78wd1sAl3dhUSQvpQzX/g==,,770,770,OK,
file://.\sendemail.php,gs://lectalocal/MD/sendemail.php,2020-11-23T15:50:30.814772Z,2020-11-23T15:50:31.602058Z,z5lA4TXsF0kq9YLJJplV6Q==,,601,601,OK,
file://.\postman.php,gs://lectalocal/MD/postman.php,2020-11-23T15:50:30.799151Z,2020-11-23T15:50:31.610058Z,fDLuSAn223wlisJ22s4bGg==,,1170,1170,OK,
file://.\upload.php,gs://lectalocal/MD/upload.php,2020-11-23T15:50:30.814772Z,2020-11-23T15:50:31.615058Z,30yJXs272lUvC8qCeceJdQ==,,2719,2719,OK,
file://.\cover4.jpg,gs://lectalocal/MD/cover4.jpg,2020-11-23T15:50:30.783526Z,2020-11-23T15:50:31.652058Z,TczVINx1Q+t2QQPYs85Hnw==,,58685,58685,OK,
file://.\back\Login.php,gs://lectalocal/MD/back/Login.php,2020-11-23T15:50:30.830398Z,2020-11-23T15:50:31.678099Z,n8u39R5R8DPf9OviPW/uuw==,,1420,1420,OK,
file://.\Core\ActividadMapa.php,gs://lectalocal/MD/Core/ActividadMapa.php,2020-11-23T15:50:30.846019Z,2020-11-23T15:50:31.679061Z,K36uCXyFIOW2YVqjonGspQ==,,1279,1279,OK,
file://.\SimpleXLSX.php,gs://lectalocal/MD/SimpleXLSX.php,2020-11-23T15:50:30.814772Z,2020-11-23T15:50:31.693094Z,1DwtbMulBadVIG2es8tvqQ==,,28696,28696,OK,
file://.\App\Procesamiento.php,gs://lectalocal/MD/App/Procesamiento.php,2020-11-23T15:50:30.814772Z,2020-11-23T15:50:31.693094Z,QinSjotqXDNBaKxGu3BPYQ==,,38464,38464,OK,
file://.\App\test.php,gs://lectalocal/MD/App/test.php,2020-11-23T15:50:30.830398Z,2020-11-23T15:50:31.703058Z,kg5KnpCMeX6iHyFMyIuTDA==,,228,228,OK,
file://.\back\Conexion.php,gs://lectalocal/MD/back/Conexion.php,2020-11-23T15:50:30.830398Z,2020-11-23T15:50:31.712058Z,SUWEHGheB+CTGsAOgG8Kag==,,343,343,OK,
